coordinator,dataset_mode,noise_level,run_id,num_packages,final_accuracy,handling_accuracy,hub_accuracy,depot_accuracy,conflict_rate,conflict_resolution_accuracy,manual_review_rate,avg_processing_time_ms
WeightedVotingCoordinator,normal,0.2,2,500,0.396,0.51,0.702,0.7,0.432,0.18055555555555555,0.134,0.038244000752456486
MediatorCoordinator,normal,0.2,2,500,0.382,0.528,0.702,0.7,0.432,0.17592592592592593,0.184,0.03609579935437068
RuleBasedCoordinator,normal,0.2,3,500,0.374,0.512,0.692,0.686,0.438,0.1552511415525114,0.144,0.035338000394403934
WeightedVotingCoordinator,normal,0.2,3,500,0.374,0.512,0.692,0.686,0.438,0.1552511415525114,0.144,0.03922200185479596
MediatorCoordinator,normal,0.2,3,500,0.358,0.526,0.692,0.686,0.438,0.1461187214611872,0.192,0.03822559991385788
RuleBasedCoordinator,normal,0.2,4,500,0.382,0.508,0.692,0.678,0.466,0.21030042918454936,0.122,0.03269080043537542
WeightedVotingCoordinator,normal,0.2,4,500,0.382,0.508,0.692,0.678,0.466,0.21030042918454936,0.122,0.032281199702993035
MediatorCoordinator,normal,0.2,4,500,0.376,0.534,0.692,0.678,0.466,0.20600858369098712,0.172,0.03336999943712726
RuleBasedCoordinator,normal,0.2,5,500,0.426,0.554,0.702,0.698,0.404,0.21782178217821782,0.138,0.042312000412493944
WeightedVotingCoordinator,normal,0.2,5,500,0.426,0.554,0.702,0.698,0.404,0.21782178217821782,0.138,0.04554959980305284
MediatorCoordinator,normal,0.2,5,500,0.416,0.588,0.702,0.698,0.404,0.21287128712871287,0.202,0.04020240023965016
RuleBasedCoordinator,normal,0.2,6,500,0.416,0.524,0.708,0.708,0.434,0.1889400921658986,0.112,0.03947359981248155
WeightedVotingCoordinator,normal,0.2,6,500,0.416,0.524,0.708,0.708,0.434,0.1889400921658986,0.112,0.044370998919475824
MediatorCoordinator,normal,0.2,6,500,0.404,0.544,0.708,0.708,0.434,0.18433179723502305,0.158,0.04446280060801655
RuleBasedCoordinator,normal,0.2,7,500,0.42,0.548,0.706,0.696,0.436,0.22935779816513763,0.132,0.041288600652478635
WeightedVotingCoordinator,normal,0.2,7,500,0.42,0.548,0.706,0.696,0.436,0.22935779816513763,0.132,0.04706380015704781
MediatorCoordinator,normal,0.2,7,500,0.416,0.588,0.706,0.696,0.436,0.22018348623853212,0.182,0.04950879979878664
RuleBasedCoordinator,normal,0.2,8,500,0.414,0.538,0.688,0.686,0.44,0.21818181818181817,0.122,0.048925000010058284
WeightedVotingCoordinator,normal,0.2,8,500,0.414,0.538,0.688,0.686,0.44,0.21818181818181817,0.122,0.0471675994922407
MediatorCoordinator,normal,0.2,8,500,0.402,0.55,0.688,0.686,0.44,0.20909090909090908,0.162,0.05004620004910976
RuleBasedCoordinator,normal,0.2,9,500,0.428,0.546,0.702,0.698,0.428,0.2383177570093458,0.126,0.04472840059315786
WeightedVotingCoordinator,normal,0.2,9,500,0.428,0.546,0.702,0.698,0.428,0.2383177570093458,0.126,0.045943000295665115
MediatorCoordinator,normal,0.2,9,500,0.418,0.56,0.702,0.698,0.428,0.2383177570093458,0.168,0.047968999366275966
RuleBasedCoordinator,normal,0.2,10,500,0.376,0.516,0.666,0.652,0.442,0.19909502262443438,0.148,0.04325000039534643
WeightedVotingCoordinator,normal,0.2,10,500,0.376,0.516,0.666,0.652,0.442,0.19909502262443438,0.148,0.04466920078266412
MediatorCoordinator,normal,0.2,10,500,0.358,0.538,0.666,0.652,0.442,0.18099547511312217,0.21,0.04882220068247989
RuleBasedCoordinator,normal,0.2,11,500,0.382,0.526,0.694,0.68,0.44,0.18636363636363637,0.148,0.045310199551749974
WeightedVotingCoordinator,normal,0.2,11,500,0.382,0.526,0.694,0.68,0.44,0.18636363636363637,0.148,0.0452030009473674
MediatorCoordinator,normal,0.2,11,500,0.372,0.568,0.694,0.68,0.44,0.17727272727272728,0.214,0.043173399521037936
